Rank,Name,Course,Category
218,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
219,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,EWS
220,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
221,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
222,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
223,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,EWS
224,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
225,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
226,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
227,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
228,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
229,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
230,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
231,AIIMS-Bhopal  SAKET NAGAR BHOPAL  Madhya Pradesh  462020,MBBS,Open
232,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
233,B.S.A. Medical College  Delhi DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE,MBBS,Open
234,College of Medical Sciences  New Delhi Dilshad Garden  Delhi (NCT)  110095,MBBS,Open
235,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
236,Hardinge Medical College  New Delhi Lady Hardinge Medical College  Shaheed,MBBS,Open
237,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
238,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
239,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
240,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
241,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
